state,year,month,api
Melaka,2017,1,25.66821
Melaka,2017,2,26.71354
Melaka,2017,3,22.85553
Melaka,2017,4,21.67741935
Melaka,2017,5,27.63298663
Melaka,2017,6,30.98055556
Melaka,2017,7,30.20295699
Melaka,2017,8,26.3027027
Melaka,2017,9,26.10833333
Melaka,2017,10,26.21505376
Melaka,2017,11,18.41805556
Melaka,2017,12,17.53856749
Melaka,2018,1,14.28897849
Melaka,2018,2,18.15772358
Melaka,2018,3,19.12096774
Melaka,2018,4,19.83571429
Melaka,2018,5,20.33333333
Melaka,2018,6,26.44186047
Melaka,2018,7,35.29435484
Melaka,2018,8,48.49865591
Melaka,2018,9,61.9375
Melaka,2018,10,54.96908602
Melaka,2018,11,49.37638889
Melaka,2018,12,45.23521505
Melaka,2019,1,49.56989247
Melaka,2019,2,49.3735119
Melaka,2019,3,66.23252688
Melaka,2019,4,59.36111111
Melaka,2019,5,59.24193548
Melaka,2019,6,53.27222222
Melaka,2019,7,60.47580645
Melaka,2019,8,72.49865591
Melaka,2019,9,96.93472222
Melaka,2019,10,60.25806452
Melaka,2019,11,48.14583333
Melaka,2019,12,34.83333333
Melaka,2020,1,37.35349462
Melaka,2020,2,36.34482759
Melaka,2020,3,44.20833333
Melaka,2020,4,40.69027778
Melaka,2020,5,49.875
Melaka,2020,6,48.85257302
Melaka,2020,7,48.72043011
Melaka,2020,8,53.11021505
Melaka,2020,9,48.11353712
Melaka,2020,10,56.55913978
Melaka,2020,11,38.44851904
Melaka,2020,12,42.87903226
Melaka,2021,1,34.90322581
Melaka,2021,2,47.52529762
Melaka,2021,3,49.45967742
Melaka,2021,4,56.06805556
Melaka,2021,5,53.49193548
Melaka,2021,6,58.98194444
Melaka,2021,7,57.68548387
Melaka,2021,8,48.60887656
Melaka,2021,9,48.70555556
Melaka,2021,10,53.15725806
Melaka,2021,11,42.6125
Melaka,2021,12,40.5
Melaka,2022,1,39.05921938
Melaka,2022,2,37.12071535
Melaka,2022,3,45.46058091
Melaka,2022,4,50.64722222
Melaka,2022,5,54.35897436
Kedah,2017,1,37.10215054
Kedah,2017,2,46.31845238
Kedah,2017,3,47.46703297
Kedah,2017,4,26.41029207
Kedah,2017,5,22.04011461
Kedah,2017,6,23.79746835
Kedah,2017,7,25.82795699
Kedah,2017,8,21.30686406
Kedah,2017,9,16.20112518
Kedah,2017,10,18.07044199
Kedah,2017,11,17.23909986
Kedah,2017,12,24.36164384
Kedah,2018,1,20.86271871
Kedah,2018,2,29.56155143
Kedah,2018,3,24.63485477
Kedah,2018,4,23.86666667
Kedah,2018,5,21.6733871
Kedah,2018,6,26.10126582
Kedah,2018,7,27.4796748
Kedah,2018,8,43.86021505
Kedah,2018,9,44.49583333
Kedah,2018,10,36.04704301
Kedah,2018,11,40.46805556
Kedah,2018,12,37.5188172
Kedah,2019,1,45.40591398
Kedah,2019,2,47.64880952
Kedah,2019,3,57.53494624
Kedah,2019,4,50.38055556
Kedah,2019,5,36.26612903
Kedah,2019,6,46.05277778
Kedah,2019,7,55.33736559
Kedah,2019,8,53.76747312
Kedah,2019,9,69.12916667
Kedah,2019,10,40.75
Kedah,2019,11,37.36527778
Kedah,2019,12,43.0188172
Kedah,2020,1,42.74865591
Kedah,2020,2,47.17672414
Kedah,2020,3,56.70698925
Kedah,2020,4,40.775
Kedah,2020,5,37.71774194
Kedah,2020,6,46.37969402
Kedah,2020,7,44.78897849
Kedah,2020,8,56.84005376
Kedah,2020,9,45.50946143
Kedah,2020,10,31.1438172
Kedah,2020,11,35.91527778
Kedah,2020,12,41.40053763
Kedah,2021,1,50.44489247
Kedah,2021,2,57.79017857
Kedah,2021,3,51.54704301
Kedah,2021,4,39.99166667
Kedah,2021,5,36.99461642
Kedah,2021,6,43.44444444
Kedah,2021,7,45.49327957
Kedah,2021,8,34.60887097
Kedah,2021,9,46.69444444
Kedah,2021,10,40.37231183
Kedah,2021,11,26.01944444
Kedah,2021,12,45.24596774
Kedah,2022,1,50.69986541
